developer,release_year,total_items,free_items,percentage_free
+7 Software,2016,4,0,0.00%
"+Mpact Games, LLC.",2017,3,0,0.00%
.M.Y.W.,2016,2,0,0.00%
.ez Games,2017,5,0,0.00%
07th Expansion,2015,2,0,0.00%
07th Expansion,2016,5,0,0.00%
07th Expansion,2017,4,0,0.00%
08 Games,2016,2,0,0.00%
100 Plus Games llc,2017,5,0,0.00%
100 Stones Interactive,2016,2,0,0.00%
100 Stones Interactive,2017,6,0,0.00%
10101 Software,2016,1,0,0.00%
10ft Games,2017,2,0,0.00%
10kbit Games,2017,8,0,0.00%
10ravens s.r.o.,2017,2,0,0.00%
"10th Art Studio,Adventure Productions",2014,2,0,0.00%
10tons Ltd,2012,3,0,0.00%
10tons Ltd,2014,6,0,0.00%
10tons Ltd,2015,11,0,0.00%
10tons Ltd,2016,12,0,0.00%
10tons Ltd,2017,14,0,0.00%
10x10 Room,2017,4,0,0.00%
11 bit studios,2011,3,0,0.00%
11 bit studios,2013,11,0,0.00%
11 bit studios,2014,6,0,0.00%
11 bit studios,2015,3,0,0.00%
11 bit studios,2016,3,0,0.00%
12 East Games,2017,3,0,0.00%
12 Hit Combo,2016,3,0,0.00%
1337 &amp; Senri AB,2015,2,0,0.00%
13AM Games,2016,20,0,0.00%
14 Dimension Enterprise,2017,4,0,0.00%
14 Hours Productions,2017,6,0,0.00%
14Dimension Enterprise,2015,3,0,0.00%
14Dimension Enterprise,2016,2,0,0.00%
14° East,2001,1,0,0.00%
16 Swans,2017,4,0,0.00%
16bit Nights,2016,8,0,0.00%
17-BIT,2013,2,0,0.00%
17-BIT,2015,2,0,0.00%
17Studio,2016,3,0,0.00%
1888 Games,2016,5,0,0.00%
1C Company,2004,1,0,0.00%
1C Company,2007,1,0,0.00%
1C Company,2008,4,0,0.00%
1C Company,2009,6,0,0.00%
1C Company,2010,5,0,0.00%
1C Company,2011,2,0,0.00%
"1C Game Studios,777 Studios",2016,3,0,0.00%
1C Wireless,2014,4,0,0.00%
1C Wireless,2015,2,0,0.00%
1C-Avalon,2011,2,0,0.00%
1C-SoftClub,2012,4,0,0.00%
1C-SoftClub,2014,2,0,0.00%
1C: Maddox Games,2006,1,0,0.00%
1C: Maddox Games,2011,1,0,0.00%
1C:InoCo,2009,7,0,0.00%
1C:InoCo,2010,2,0,0.00%
1C:InoCo,2011,5,0,0.00%
1CC Games,2016,4,0,0.00%
2 Monkeys,2016,2,0,0.00%
2 Zombie Games,2017,9,0,0.00%
2 players,2016,1,0,0.00%
2-Volt Games,2017,3,0,0.00%
2015,2004,1,0,0.00%
2020 Venture,2016,3,0,0.00%
20letpast,2017,2,0,0.00%
22cans,2016,5,0,0.00%
22cans,2017,3,0,0.00%
24 Caret Games,2013,2,0,0.00%
251 Games,2014,2,0,0.00%
26k,2017,1,0,0.00%
29Palms Scenery Design,2016,1,0,0.00%
"29Palms,JaraNet",2017,1,0,0.00%
2Awesome Studio,2017,2,0,0.00%
2B_GAMES,2016,3,0,0.00%
2Beats,2017,3,0,0.00%
2Bit Studios,2016,3,0,0.00%
"2Chance Projects,IIchan Eroge Team",2015,4,0,0.00%
"2Chance Projects,IIchan Eroge Team,DjSM",2017,3,0,0.00%
2D BOY,2008,1,0,0.00%
"2D Heroes,Ursa Games",2016,3,0,0.00%
"2D Heroes,Ursa Games",2017,2,0,0.00%
2DArray,2013,3,0,0.00%
2DEngine,2011,2,0,0.00%
2DEngine,2015,3,0,0.00%
2DEngine.com,2008,1,0,0.00%
2DHD,2016,2,0,0.00%
2Dog Games,2017,3,0,0.00%
"2K Australia,Gearbox Software,Aspyr (Mac &amp; Linux)",2014,2,0,0.00%
"2K Australia,Gearbox Software,Aspyr (Mac and Linux)",2014,2,0,0.00%
"2K Australia,Gearbox Software,Aspyr (Mac, Linux)",2014,2,0,0.00%
