release_year,sentiment_analysis,developer
2009,1,Tripwire Interactive
2013,2,"Hopoo Games, LLC"
2013,2,"Hopoo Games, LLC"
2013,2,"Hopoo Games, LLC"
2013,2,Telltale Games
2012,1,FromSoftware
2012,1,FromSoftware
2013,0,Traveller's Tales
2013,0,Traveller's Tales
2012,1,Valve
2012,1,Valve
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2015,2,"Psyonix, Inc."
2007,1,Valve
2007,1,Valve
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2011,1,Arrowhead Game Studios
2011,1,Arrowhead Game Studios
2016,1,Tripwire Interactive
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2012,2,Valve
2015,1,Squad
2015,1,Squad
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2016,1,Chucklefish
2007,2,Valve
2007,2,Valve
2004,2,Valve
2014,1,Rebellion
2014,1,Rebellion
2013,1,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
2015,0,"Noio,Licorice"
2015,0,"Noio,Licorice"
2015,0,"Noio,Licorice"
2015,1,Dinosaur Polo Club
2015,1,Dinosaur Polo Club
2015,1,Dinosaur Polo Club
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2013,2,Bohemia Interactive
2014,2,Soviet Games
2014,2,Soviet Games
2014,2,Soviet Games
2014,2,Soviet Games
2015,2,"Bluehole, Inc."
2015,2,"Bluehole, Inc."
2015,2,"Bluehole, Inc."
2015,2,"Bluehole, Inc."
2015,2,"Bluehole, Inc."
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2017,2,Smartly Dressed Games
2014,2,The Behemoth
2014,2,The Behemoth
2014,2,The Behemoth
2014,2,The Behemoth
2012,1,Valve
2011,1,Edmund McMillen and Florian Himsl
2011,1,Edmund McMillen and Florian Himsl
2011,1,Edmund McMillen and Florian Himsl
2011,1,Edmund McMillen and Florian Himsl
2007,1,Valve
2007,1,Valve
2014,1,Obsidian Entertainment
2014,1,Obsidian Entertainment
2014,1,Obsidian Entertainment
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2011,1,Re-Logic
2012,1,Valve
2006,1,Facepunch Studios
2006,1,Facepunch Studios
2007,2,Valve
2007,2,Valve
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2017,1,Smartly Dressed Games
2007,1,Valve
2007,1,Valve
2012,1,Valve
2012,1,Valve
2007,2,Valve
2007,2,Valve
2007,1,Valve
2007,1,Valve
2015,1,Mouldy Toof Studios
2015,1,Mouldy Toof Studios
2015,1,Mouldy Toof Studios
2015,1,Mouldy Toof Studios
2015,1,Mouldy Toof Studios
2015,1,Kyle Seeley
2015,1,Kyle Seeley
2015,1,Kyle Seeley
2015,1,Kyle Seeley
2015,1,Kyle Seeley
2015,2,Bethesda Game Studios
2013,2,Facepunch Studios
2013,2,Facepunch Studios
2013,2,Facepunch Studios
2013,2,Facepunch Studios
2013,2,Facepunch Studios
2013,2,Facepunch Studios
2007,1,Valve
2007,1,Valve
2014,1,Shining Rock Software LLC
2014,1,Shining Rock Software LLC
2014,1,Shining Rock Software LLC
2013,2,Hanako Games
2013,2,Hanako Games
2013,2,Hanako Games
