sentiment_analysis,developer
2,"Hopoo Games, LLC"
2,"Hopoo Games, LLC"
2,"Hopoo Games, LLC"
2,Telltale Games
0,Traveller's Tales
0,Traveller's Tales
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,Valve
2,Valve
2,Valve
2,Valve
0,"Noio,Licorice"
0,"Noio,Licorice"
0,"Noio,Licorice"
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Soviet Games
2,Soviet Games
2,Soviet Games
2,Soviet Games
2,"Bluehole, Inc."
2,"Bluehole, Inc."
2,"Bluehole, Inc."
2,"Bluehole, Inc."
2,"Bluehole, Inc."
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,The Behemoth
2,The Behemoth
2,The Behemoth
2,The Behemoth
2,Valve
2,Valve
2,Valve
2,Valve
2,Bethesda Game Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Hanako Games
2,Hanako Games
2,Hanako Games
2,Hanako Games
0,Code}{atch
0,Code}{atch
0,Code}{atch
0,Code}{atch
0,Code}{atch
2,Bethesda Game Studios
2,Valve
2,Valve
0,Valve
0,Valve
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
2,Wild Shadow Studios
0,Trion Worlds
0,Trion Worlds
0,Trion Worlds
0,Trion Worlds
0,Trion Worlds
0,Trion Worlds
2,Valve
2,Valve
2,Valve
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
0,Valve
0,Valve
0,Valve
2,NGD Studios
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Freejam
2,Turtle Rock Studios
2,Turtle Rock Studios
0,Valve
2,Valve
2,Valve
2,Serenity Forge
2,Serenity Forge
2,Valve
2,Valve
2,Haemimont Games
2,Haemimont Games
2,Haemimont Games
2,Valve
2,Valve
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
2,"Firaxis Games,Aspyr (Mac, Linux)"
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Valve
2,Valve
0,Torn Banner Studios
0,Torn Banner Studios
2,"Firaxis Games,Aspyr (Mac, Linux)"
0,Re-Logic
0,Re-Logic
0,Re-Logic
0,Re-Logic
2,Avalanche Studios
2,Avalanche Studios
2,Valve
2,Facepunch Studios
2,Facepunch Studios
2,Squad
2,Squad
2,Section Studios
2,Section Studios
2,Section Studios
2,Section Studios
2,"Infinity Ward,Aspyr (Mac)"
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Psyonix, Inc."
2,"Psyonix, Inc."
0,Pandemic Studios
0,Dingaling
0,Dingaling
0,Dingaling
2,Ankama Studio
2,Ankama Studio
2,Ankama Studio
2,Ankama Studio
2,Ankama Studio
2,Valve
2,Threaks
2,Threaks
2,Threaks
2,Threaks
0,Trendy Entertainment
0,Trendy Entertainment
0,Trendy Entertainment
0,Trendy Entertainment
0,Trendy Entertainment
2,Valve
2,Valve
2,Valve
2,Tripwire Interactive
2,Tripwire Interactive
2,Tripwire Interactive
2,Digital Extremes
2,Digital Extremes
0,Visual Concepts
2,Doctor Entertainment AB
2,Doctor Entertainment AB
2,Doctor Entertainment AB
0,Valve
2,Blue Mammoth Games
2,Blue Mammoth Games
2,Blue Mammoth Games
0,Hello Games
0,Hello Games
2,Treyarch
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Facepunch Studios
0,Valve
0,Valve
2,Valve
2,Valve
2,Noble Empire Corp.
2,Noble Empire Corp.
2,Noble Empire Corp.
2,Facepunch Studios
2,Facepunch Studios
2,Double Action Factory
2,Double Action Factory
2,Double Action Factory
2,Valve
2,Facepunch Studios
2,Facepunch Studios
0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
0,"DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)"
0,Edge of Reality
0,Edge of Reality
0,Edge of Reality
2,Valve
2,Beam Team Games
2,Beam Team Games
2,Beam Team Games
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Freebird Games
2,Freebird Games
2,Freebird Games
0,Jagex Limited
0,Jagex Limited
0,ACE Team
0,ACE Team
0,ACE Team
0,ACE Team
2,Paradox Development Studio
2,Paradox Development Studio
2,Paradox Development Studio
0,Reto-Moto
0,Reto-Moto
0,Reto-Moto
0,Reto-Moto
2,Valve
2,ALICE IN DISSONANCE
2,Obsidian Entertainment
2,Obsidian Entertainment
2,Valve
2,Valve
2,Cryptic Studios
2,Cryptic Studios
2,Cryptic Studios
2,Crate Entertainment
2,Crate Entertainment
2,Crate Entertainment
2,Crate Entertainment
2,Torn Banner Studios
2,Torn Banner Studios
2,Doctor Entertainment AB
2,Doctor Entertainment AB
2,Doctor Entertainment AB
2,Critical Studio
2,Critical Studio
2,Critical Studio
2,Obsidian Entertainment
2,Obsidian Entertainment
2,Obsidian Entertainment
0,tobyfox
0,tobyfox
2,Hardsuit Labs
2,Hardsuit Labs
0,CCP
0,CCP
0,CCP
0,CCP
0,CCP
0,Bohemia Interactive
0,Bohemia Interactive
0,Bohemia Interactive
0,Bohemia Interactive
2,Grey Havens
2,Grey Havens
2,Grey Havens
2,Grey Havens
2,Grey Havens
2,Grey Havens
2,"Nicalis, Inc."
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Chucklefish
2,Squad
2,Squad
2,Valve
0,Rockstar North
0,Rockstar North
2,AMPLITUDE Studios
2,AMPLITUDE Studios
2,Treyarch
2,CD PROJEKT RED
2,Coffee Stain Studios
2,Coffee Stain Studios
2,Coffee Stain Studios
0,Vortal Storm
0,Vortal Storm
2,tobyfox
2,tobyfox
2,Facepunch Studios
2,Facepunch Studios
2,Ubisoft Montreal
2,Ubisoft Montreal
2,Digital Extremes
2,Digital Extremes
0,WARTEAM
0,WARTEAM
0,WARTEAM
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
0,Wild Shadow Studios
0,Wild Shadow Studios
0,Wild Shadow Studios
0,Wild Shadow Studios
0,Wild Shadow Studios
2,Valve
2,Valve
2,Valve
2,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
2,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
0,"Eidos-Montréal,Feral Interactive (Mac)"
0,"Eidos-Montréal,Feral Interactive (Mac)"
2,Valve
0,Valve
2,Edge Case Games Ltd.
2,Edge Case Games Ltd.
2,Edge Case Games Ltd.
2,Edge Case Games Ltd.
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Smartly Dressed Games
2,Valve
2,TaleWorlds Entertainment
2,TaleWorlds Entertainment
0,Colossal Order Ltd.
0,Colossal Order Ltd.
0,Oovee® Game Studios
0,Oovee® Game Studios
0,Oovee® Game Studios
0,Valve
0,Rebellion
2,Valve
2,Valve
2,FarSight Studios
2,FarSight Studios
2,Pandemic Studios
0,Valve
0,Valve
2,Facepunch Studios
2,Facepunch Studios
2,"FromSoftware, Inc."
2,Supergiant Games
2,Supergiant Games
2,Supergiant Games
2,Hexage
2,Hexage
0,777 Studios
0,777 Studios
2,Splash Damage
2,Splash Damage
2,Valve
2,"Tomi Maarela,Elias Viglione"
2,"Tomi Maarela,Elias Viglione"
0,BlankMediaGames
0,BlankMediaGames
0,BlankMediaGames
0,Double Fine Productions
0,Double Fine Productions
0,Double Fine Productions
2,Proton Studio Inc
2,Proton Studio Inc
2,Proton Studio Inc
2,Proton Studio Inc
0,Digital Extremes
0,Digital Extremes
2,Blind Sky Studios
2,Blind Sky Studios
2,Blind Sky Studios
2,Pathea Games
2,Pathea Games
2,Pathea Games
2,Pathea Games
2,Pathea Games
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Valve
2,Valve
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Colossal Order Ltd.
2,Colossal Order Ltd.
2,Messhof
2,Messhof
2,Messhof
2,Arrowhead Game Studios
2,Arrowhead Game Studios
0,Konami Digital Entertainment
0,Konami Digital Entertainment
2,Rooster Teeth Games
2,Rooster Teeth Games
2,Rooster Teeth Games
2,Subvert Games
2,Subvert Games
2,Subvert Games
2,Subvert Games
2,Subvert Games
2,Subvert Games
2,Muse Games
2,Muse Games
2,Muse Games
2,Muse Games
2,Cold Beam Games
2,Cold Beam Games
2,Cold Beam Games
2,Cliffhanger Productions
2,Cliffhanger Productions
2,Cliffhanger Productions
2,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
2,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
0,Bohemia Interactive
0,Bohemia Interactive
0,Bohemia Interactive
0,Bohemia Interactive
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Re-Logic
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Facepunch Studios
2,Daybreak Game Company
2,Daybreak Game Company
2,Daybreak Game Company
2,Star Vault AB
2,Star Vault AB
2,Star Vault AB
2,Star Vault AB
2,Star Vault AB
2,ConcernedApe
2,ConcernedApe
2,ConcernedApe
0,800 North and Digital Ranch
0,800 North and Digital Ranch
2,EA Los Angeles
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,Double Fine Productions
2,Double Fine Productions
2,Double Fine Productions
2,Valve
2,Valve
0,Grey Havens
0,Grey Havens
0,Grey Havens
0,Grey Havens
0,Grey Havens
0,Grey Havens
0,Bankroll Studios
0,Bankroll Studios
0,Bankroll Studios
0,Bankroll Studios
2,Blue Mammoth Games
2,Blue Mammoth Games
2,Blue Mammoth Games
2,Supergiant Games
2,Supergiant Games
2,Supergiant Games
2,Valve
0,Facepunch Studios
0,Facepunch Studios
2,Deep Silver Volition
2,Deep Silver Volition
2,Bohemia Interactive
2,Bohemia Interactive
2,Bohemia Interactive
2,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
2,Scott Cawthon
2,Scott Cawthon
2,Valve
0,Facepunch Studios
